app_start.stm,app_start.sip,app_start.rom_ver,app_start.sid,app_start.app_type,app_start.ctime,app_start.app_ver,app_start.order,app_start.h_mode,app_start.h_sn,app_start.net_type,app_start.appmode,app_start.o_source,app_start.app_name,app_start.status,app_start.s_ver,app_start.mac,app_start.year,app_start.month,app_start.day,app_start.hour
1540742478,182.149.167.131,4.3.3.16_s,730c6b7bb57446de98b48f95e2c51530,4,1540737866,4.3.3.16,11,FD4952A-SU,FUN201003247017360101764,1,,com.android.systemui,com.bestv.ott,1,4.3.3.16,28:76:CD:B4:3E:22,2018,10,29,00
1540742886,114.243.182.166,4.1.1.20_s,cdce89ebb03842a69d6eed04990eb6a6,4,1540732333,4.1.1.20,8,FD4051B-CF,FUN201004290818160100101,1,TVAppStore,tv.fun.appstore,com.btkanba.tv,1,1.4.9.2,28:76:CD:CF:9A:3F,2018,10,29,00
1540745049,36.42.108.63,4.1.1.12_s,a2df77100e2c4c7eb4e4a38198250552,4,1540744859,4.1.1.12,9,LS55H310G,FUN201002151616450102326,1,TVAppStore,tv.fun.appstore,com.cibn.tv,1,6.0.2.1,28:76:CD:0F:15:B7,2018,10,29,00
1540743699,175.167.154.224,7.0.20180706.114804,e0f91143a11c49509abdd30a3cf32923,4,1540720895,1.0,6,toptech_TT338512S,,4,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:20:66:47,2018,10,29,00
1540742622,39.168.84.47,7.0.20180719.151942,d59fffc4b29e40ebbabae603a0bcb1c1,4,1540652869,1.0,14,toptech_TT338512S,,1,,com.mstar.tv.tvplayer.ui,com.mstar.tv.tvplayer.ui,1,1.0,00:cb:b4:20:79:20,2018,10,29,00
1540745080,125.40.75.180,4.1.1.11_s,b6a851081fb3421da5b6d0ea3a64a25d,4,1540664089,4.1.1.11,83,LE32B310G1B,FUN201002337916500102545,1,TVAppStore,tv.fun.appstore,com.hpplay.happyplay.aw,1,8.0.21,28:76:CD:10:D8:83,2018,10,29,00
1540742710,140.207.236.69,1.0.0,1e68b6c8461c41b7bf5b75a205f88d01,4,1535999510,1.10.12-ga7a909c,5,MStar+Android+TV,,1,,com.cvte.tv.launcher.fighter,com.cibn.tv,1,5.14.1.22,78:dd:d9:bb:79:37,2018,10,29,00
1540743290,39.73.136.49,1.0.0,7ae76121e1624b0d8f43affc9b32068f,4,1540725196,1.4.2,13,MStar+Android+TV,,1,,com.cvte.tv.appstore,com.cibn.tv,1,5.14.1.22,78:dd:d9:b9:8a:a6,2018,10,29,00
1540742422,175.164.99.158,4.1.1.12_s,b2a6de8be24e4e7cb1ccb358fb7159a2,4,1540742067,4.1.1.12,1,LS55H310G,FUN201001483516080100777,1,TVLauncher,com.bestv.ott,tv.fun.appstore,1,4.1.1.12,28:76:CD:06:07:3B,2018,10,29,00
1540745435,111.56.13.215,1.0.0,506cef4037f84c2099d956a07dbaacc4,4,1540731035,1.10.12-ga7a909c,4,MStar+Android+TV,,1,,com.cvte.tv.launcher.fighter,com.qiyi.video,1,8.1,78:dd:d9:bd:f3:ca,2018,10,29,00
1540744676,183.226.192.248,4.3.3.16_s,a01293b50f1e4a85848a647324a24e81,4,1540744334,4.3.3.16,1,FD4251A-CF,FUN201002422617020104743,1,TVLauncher,com.bestv.ott,tv.fun.children,1,4.3.3.16,28:76:CD:17:36:AE,2018,10,29,00
1540744091,27.154.207.137,1.0.0,35da545fe5ed4ef499015269fa8419b8,4,1540732640,1.10.12-ga7a909c,13,MStar+Android+TV,,2,,com.cvte.tv.launcher.fighter,com.ktcp.video,1,3.3.2.2010,78:dd:d9:bc:a2:a8,2018,10,29,00
1540744416,58.63.147.148,4.1.1.12_s,e86af4d4d0794a5ebed6c52acadfc31f,4,1540743567,4.1.1.12,7,LE32B510F,FUN201002133616390102209,1,TVAppStore,tv.fun.appstore,com.cibn.tv,1,6.0.2.1,28:76:CD:0D:71:05,2018,10,29,00
1540743390,39.170.231.185,4.1.1.20_s,3e5ec1d487de4365b2e2ba757ab56e78,4,1540731410,4.1.1.20,7,FD4051B-CF,FUN201003546217440100495,1,TVAppStore,tv.fun.appstore,com.gitvdemo.video,1,8.8.0.78388,28:76:CD:C5:3F:D0,2018,10,29,00
